node_id	species	metabolic_type	feeding_type	environment	feeding_mode	trophic_level	d15N	Mean_mass_g	mobility
176	Terebella_ehlersi	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	7.234	2.4E-01	2
177	Eucranta_mollis	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	8.494	4.7E+00	2
178	Promachocrinus_kerguelensis	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	6.644	9.8E+01	3
179	Anthometra_adriani	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	7.106	9.8E+01	3
180	Acodontaster_conspicuus	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	11.013	3.3E+00	2
181	Acodontaster_capitatus	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	10.85	5.4E+00	2
182	Acodontaster_hodgsoni	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	10.415	3.9E+00	2
183	Bathybiaster_loripes	Invertebrate	omnivorous	benthic	predator/scavenger	2.67	9.8	7.9E+00	2
184	Cuenotaster_involutus	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	11.833	1.7E+01	2
185	Diplasterias_brucei	Invertebrate	omnivorous	benthic	predator/scavenger	3.84	11.01	2.8E+00	2
186	Luidiaster_gerlachei	Invertebrate	omnivorous	benthic	predator/scavenger	3.77	8.75	1.1E-01	2
187	Labidiaster_annulatus	Invertebrate	omnivorous	benthic	predator/scavenger	3.90	9.421	8.6E+01	2
188	Lophaster_gaini	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	11.01	5.3E+00	2
189	Notasterias_armata	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	11.01	1.1E+00	2
190	Solaster_dawsoni	Invertebrate	omnivorous	benthic	predator/scavenger	3.69	11.01	7.5E-01	2
191	Odontaster_meridionalis	Invertebrate	omnivorous	benthic	predator/scavenger	2.97	11.01	8.4E-02	2
192	Odontaster_validus	Invertebrate	omnivorous	benthic	predator/scavenger	3.29	11.01	5.7E-01	2
193	Kampylaster_incurvatus	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	8.823	6.1E-02	2
194	Cycethra_verrucosa_mawsoni	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	14.775	5.7E-01	2
195	Notasterias_stylophora	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	11.17	1.9E+00	2
196	Notioceramus_anomalus	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	14.371	4.6E-01	2
197	Perknaster_sladeni	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	10.08	3.5E-01	2
198	Pteraster_affinis_aculeatus	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	11.01	3.1E-01	2
199	Perknaster_densus	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	13.327	7.8E-01	2
200	Perknaster_fuscus_antarcticus	Invertebrate	omnivorous	benthic	predator/scavenger	2.67	11.01	9.8E+00	2
201	Macroptychaster_accrescens	Invertebrate	omnivorous	benthic	predator/scavenger	3.80	10.097	1.5E+01	2
202	Lysasterias_perrieri	Invertebrate	omnivorous	benthic	predator/scavenger	3.47	10.86	3.9E+00	2
203	Psilaster_charcoti	Invertebrate	omnivorous	benthic	predator/scavenger	4.41	9.859	1.5E+01	2
204	Porania_antarctica	Invertebrate	omnivorous	benthic	predator/scavenger	2.12	9.922	7.3E-02	2
205	Porania_antarctica_glabra	Invertebrate	omnivorous	benthic	predator/scavenger	2.12	11.592	3.2E-01	2
206	Ophioperla_koehleri	Invertebrate	omnivorous	benthic	predator/scavenger	2.00	7.321	1.9E+00	2
207	Ophionotus_victoriae	Invertebrate	omnivorous	benthic	predator/scavenger	2.97	6	1.9E+00	2
208	Ophioceres_incipiens	Invertebrate	omnivorous	benthic	predator/scavenger	2.69	9.4	4.1E-02	2
209	Ophiurolepis_brevirima	Invertebrate	omnivorous	benthic	predator/scavenger	3.00	6.9	4.2E-01	2
210	Ophiurolepis_gelida	Invertebrate	omnivorous	benthic	predator/scavenger	2.98	7.321	2.8E-01	2
211	Ophiosparte_gigas	Invertebrate	omnivorous	benthic	predator/scavenger	3.44	7	7.5E+00	2
212	Ophioperla_ludwigi	Invertebrate	omnivorous	benthic	predator/scavenger	3.38	7.321	1.6E+00	2
213	Ophiacantha_antarctica	Invertebrate	omnivorous	benthic	predator/scavenger	2.15	7.321	6.7E-02	2
