Link ID	Link reference 	Body size reference	Geographic location	General habitat	Specific habitat	Link methodology	Body size methodology	Taxonomy consumer	Lifestage consumer	Common name(s) consumer	Metabolic category consumer	Type of feeding interaction	Minimum length (m) consumer	Mean length (m) consumer	Maximum length (m) consumer	Minimum mass (g) consumer	Mean mass (g) consumer	Maximum mass (g) consumer	Taxonomy resource	Lifestage - resource	Common name(s) resource	Metabolic category resource	Minimum length (m) resource	Mean length (m) resource	Maximum length (m) resource	Minimum mass (g) resource	Mean mass (g) resource	Maximum mass (g) resource	Consumer/resource body mass ratio	Notes		
14913	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene rossi	adult	amphipod	invertebrate	predacious	-999	0.04	-999	-999	-999	-999	Polychaeta	adult	Polychaeta	Invertebrate	0.0015	0.19	-999	-999	-999	-999	0.019419927	-999
14914	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene rossi	adult	amphipod	invertebrate	predacious	-999	0.04	-999	-999	-999	-999	Copepoda	adult	Copepoda	Invertebrate	0.0039	0.00614	0.00663	-999	-999	-999	51.18849988	-999
14915	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene rossi	adult	amphipod	invertebrate	predacious	-999	0.04	-999	-999	-999	-999	Porifera	adult	Porifera	Invertebrate	0.0645	0.26	1	-999	-999	-999	0.000359504	-999
14916	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene plebs 	adult	amphipod	invertebrate	predacious	-999	0.025	-999	-999	-999	-999	Crustacea	adult	Crustacea	Invertebrate	0.0002	0.12	-999	-999	-999	-999	0.037101665	-999
14917	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene plebs 	adult	amphipod	invertebrate	predacious	-999	0.025	-999	-999	-999	-999	Euphausia superba	adult	Euphausiacea	Invertebrate	0.0012	0.0571	-999	-999	-999	-999	0.176497351	-999
14918	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene plebs 	adult	amphipod	invertebrate	detritivorous	-999	0.025	-999	-999	-999	-999	Phytodetritus	-999	Phytodetritus	detritus	0	0.0001	-999	-999	-999	-999	1.85097E+12	-999
14919	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene plebs 	adult	amphipod	invertebrate	herbivorous	-999	0.025	-999	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	5.17101E+11	-999
14920	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene nodimanus	adult	amphipod	invertebrate	predacious	-999	0.02	-999	-999	-999	-999	Polychaeta	adult	Polychaeta	Invertebrate	0.0015	0.19	-999	-999	-999	-999	0.004529858	-999
14921	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene nodimanus	adult	amphipod	invertebrate	predacious	-999	0.02	-999	-999	-999	-999	Holothuria	adult	Holothuria	Invertebrate	0.023	0.0922	0.3	-999	-999	-999	0.001268164	-999
14922	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene nodimanus	adult	amphipod	invertebrate	predacious	-999	0.02	-999	-999	-999	-999	Fish	adult	Fish	ectotherm vertebrate	0.031	0.1671	1.38	-999	-999	-999	0.00020272	-999
14923	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene nodimanus	adult	amphipod	invertebrate	predacious	-999	0.02	-999	-999	-999	-999	Octopoda	adult	Octopoda	Invertebrate	-999	0.043	-999	-999	-999	-999	0.009355844	-999
14924	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Abyssorchomene nodimanus	adult	amphipod	invertebrate	detritivorous	-999	0.02	-999	-999	-999	-999	Phytodetritus	-999	Phytodetritus	detritus	0	0.0001	-999	-999	-999	-999	1.15848E+12	-999
14925	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Eusirus antarcticus	adult	amphipod	invertebrate	predacious	0.015	0.0166	0.018	-999	-999	-999	Copepoda	adult	Copepoda	Invertebrate	0.0039	0.00614	0.00663	-999	-999	-999	8.073714826	-999
14926	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Eusirus antarcticus	adult	amphipod	invertebrate	predacious	0.015	0.0166	0.018	-999	-999	-999	Copepoda	adult	Copepoda	Invertebrate	0.0039	0.00614	0.00663	-999	-999	-999	8.073714826	-999
14927	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Eusirus perdentatus	adult	amphipod	invertebrate	predacious	-999	0.087	-999	-999	-999	-999	Crustacea	adult	Crustacea	Invertebrate	0.0002	0.12	0.12	-999	-999	-999	0.508990661	-999
14928	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Eusirus perdentatus	adult	amphipod	invertebrate	predacious	-999	0.087	-999	-999	-999	-999	Amphipoda	adult	Amphipoda	Invertebrate	0.0002	0.0385	0.12	-999	-999	-999	5.540167542	-999
14929	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Eusirus perdentatus	adult	amphipod	invertebrate	predacious	-999	0.087	-999	-999	-999	-999	Polychaeta	adult	Polychaeta	Invertebrate	0.0015	0.19	0.19	-999	-999	-999	0.099291494	-999
14930	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Eusirus perdentatus	adult	amphipod	invertebrate	detritivorous	-999	0.087	-999	-999	-999	-999	Phytodetritus	-999	Phytodetritus	detritus	0	0.0001	0.0001	-999	-999	-999	2.53932E+13	-999
14931	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Alexandrella mixta	adult	amphipod	invertebrate	predacious	-999	0.035	-999	-999	-999	-999	Ophiuroida	adult	Ophiuroida	Invertebrate	0.001	0.0404	0.0633	-999	-999	-999	0.035680508	-999
